iter	Passed	Remaining
706	6492	2690
707	6500	2680
708	6508	2671
709	6515	2661
710	6529	2653
711	6541	2646
712	6549	2636
713	6558	2627
714	6566	2617
715	6573	2607
716	6580	2597
717	6590	2588
718	6598	2578
719	6605	2568
720	6613	2559
721	6621	2549
722	6630	2540
723	6641	2531
724	6650	2522
725	6659	2513
726	6668	2504
727	6677	2494
728	6685	2485
729	6693	2475
730	6702	2466
731	6712	2457
732	6720	2447
733	6727	2437
734	6735	2428
735	6743	2418
736	6751	2409
737	6763	2401
738	6770	2391
739	6778	2381
740	6786	2371
741	6794	2362
742	6802	2352
743	6811	2343
744	6821	2334
745	6828	2325
746	6836	2315
747	6844	2305
748	6852	2296
749	6860	2286
750	6867	2277
751	6875	2267
752	6883	2257
753	6892	2248
754	6900	2239
755	6908	2229
756	6914	2219
757	6921	2209
758	6931	2200
759	6938	2191
760	6946	2181
761	6955	2172
762	6963	2162
763	6970	2153
764	6979	2144
765	6986	2134
766	6996	2125
767	7005	2116
768	7014	2106
769	7022	2097
770	7031	2088
771	7038	2078
772	7048	2069
773	7058	2061
774	7066	2051
775	7082	2044
776	7090	2035
777	7107	2028
778	7119	2019
779	7135	2012
780	7144	2003
781	7156	1995
782	7170	1987
783	7183	1979
784	7198	1971
785	7211	1963
786	7223	1955
787	7234	1946
788	7247	1938
789	7257	1929
790	7265	1919
791	7279	1911
792	7293	1903
793	7308	1896
794	7317	1886
795	7333	1879
796	7348	1871
797	7356	1862
798	7363	1852
799	7373	1843
800	7383	1834
801	7397	1826
802	7406	1816
803	7414	1807
804	7423	1798
805	7432	1788
806	7443	1780
807	7452	1770
808	7461	1761
809	7471	1752
810	7480	1743
811	7488	1733
812	7498	1724
813	7516	1717
814	7529	1709
815	7538	1699
816	7547	1690
817	7555	1681
818	7578	1674
819	7589	1665
820	7598	1656
821	7607	1647
822	7621	1639
823	7635	1630
824	7648	1622
825	7663	1614
826	7674	1605
827	7688	1597
828	7698	1588
829	7708	1578
830	7720	1570
831	7733	1561
832	7744	1552
833	7755	1543
834	7765	1534
835	7777	1525
836	7790	1517
837	7799	1507
838	7810	1498
839	7818	1489
840	7828	1480
841	7840	1471
842	7852	1462
843	7861	1453
844	7869	1443
845	7885	1435
846	7902	1427
847	7913	1418
848	7923	1409
849	7932	1399
850	7941	1390
851	7950	1381
852	7962	1372
853	7970	1362
854	7981	1353
855	7989	1344
856	7997	1334
857	8007	1325
858	8015	1315
859	8022	1306
860	8031	1296
861	8038	1286
862	8050	1278
863	8063	1269
864	8073	1260
865	8080	1250
866	8091	1241
867	8106	1232
868	8119	1223
869	8133	1215
870	8144	1206
871	8154	1196
872	8162	1187
873	8174	1178
874	8185	1169
875	8195	1160
876	8208	1151
877	8223	1142
878	8233	1133
879	8242	1124
880	8259	1115
881	8273	1106
882	8284	1097
883	8296	1088
884	8309	1079
885	8318	1070
886	8326	1060
887	8338	1051
888	8347	1042
889	8358	1033
890	8375	1024
891	8389	1015
892	8400	1006
893	8412	997
894	8428	988
895	8438	979
896	8445	969
897	8456	960
898	8465	951
899	8474	941
900	8482	932
901	8492	922
902	8502	913
903	8511	903
904	8521	894
905	8535	885
906	8544	876
907	8557	867
908	8569	857
909	8578	848
910	8587	838
911	8596	829
912	8607	820
913	8617	810
914	8630	801
915	8638	792
916	8647	782
917	8654	773
918	8666	763
919	8676	754
920	8686	745
921	8695	735
922	8705	726
923	8715	716
924	8726	707
925	8736	698
926	8746	688
927	8754	679
928	8763	669
929	8776	660
930	8786	651
931	8799	642
932	8809	632
933	8818	623
934	8826	613
935	8834	604
936	8843	594
937	8852	585
938	8862	575
939	8872	566
940	8883	557
941	8901	548
942	8913	538
943	8922	529
944	8930	519
945	8941	510
946	8949	500
947	8957	491
948	8966	481
949	8976	472
950	8984	462
951	8995	453
952	9005	444
953	9014	434
954	9022	425
955	9033	415
956	9045	406
957	9058	397
958	9070	387
959	9079	378
960	9089	368
961	9099	359
962	9109	349
963	9120	340
964	9131	331
965	9141	321
966	9149	312
967	9160	302
968	9169	293
969	9178	283
970	9187	274
971	9197	264
972	9206	255
973	9221	246
974	9230	236
975	9239	227
976	9251	217
977	9261	208
978	9270	198
979	9279	189
980	9297	180
981	9314	170
982	9328	161
983	9339	151
984	9351	142
985	9363	132
986	9374	123
987	9386	114
988	9405	104
989	9415	95
990	9430	85
991	9451	76
992	9463	66
993	9475	57
994	9486	47
995	9498	38
996	9509	28
997	9520	19
998	9535	9
999	9545	0
